Title,Link,Date,Author,Category
The Wearable Health Tracker Landscape: 18 Devices On 18 Body Parts,/the-wearable-health-tracker-landscape-18-devices-on-18-body-parts,N/A,N/A,Uncategorized
From Organ Designers To Telesurgery VR Planners: Healthcare Jobs In 2040,/from-organ-designers-to-telesurgery-vr-planners-healthcare-jobs-in-2040,N/A,N/A,Uncategorized
What Does Virtual First Mean In Healthcare?,/what-does-virtual-first-mean-in-healthcare,N/A,N/A,Uncategorized
Why Flight Emergency Medical Kits Need A Digital Health Upgrade,/future-of-flight-medicine,N/A,N/A,Uncategorized
"Digital Health, Menopause, And The $150 Billion Ignorance",/digital-health-menopause-and-the-150-billion-ignorance,N/A,N/A,Uncategorized
7 Must-Have Features Of The Perfect Digital Health Platform,/7-must-have-features-of-the-perfect-digital-health-platform,N/A,N/A,Uncategorized
The Current State And Future Of Biohacking,/the-current-state-and-future-of-biohacking,N/A,N/A,Uncategorized
Career Guide In Digital Health And Healthcare AI,/career-guide-in-digital-health-and-healthcare-ai,N/A,N/A,Uncategorized
"Hackers, Breaches And The Value Of Health Data: 2024 E-Book Update",/your-privacy-in-the-digital-health-era-the-medical-futurists-guide,N/A,N/A,Uncategorized
Will Patients Have To Pay For Using AI In Their Healthcare?,/will-patients-have-to-pay-for-using-ai-in-their-healthcare,N/A,N/A,Uncategorized
5 Insights Of The Medical Futurist’s 100 Digital Health And AI Companies Of 2024,/5-insights-of-the-medical-futurists-100-digital-health-and-ai-companies-of-2024,N/A,N/A,Uncategorized
Apple Watch Series 9 Review: From Health Monitoring To Lifestyle Integration,/apple-watch-series-9-review-from-health-monitoring-to-lifestyle-integration,N/A,N/A,Uncategorized
7 Things To Expect From AI In Healthcare This Year,/7-things-to-expect-from-ai-in-healthcare-this-year,N/A,N/A,Uncategorized
What Will Blood Testing Look Like In The Near Future?,/what-will-blood-testing-look-like-in-the-near-future,N/A,N/A,Uncategorized
A Step-By-Step Guide To Measuring Sleep,/a-step-by-step-guide-to-measuring-sleep,N/A,N/A,Uncategorized
The Future Of Cognitive Health: This Is How Digital Health Can Help,/the-future-of-cognitive-health-this-is-how-digital-health-can-help,N/A,N/A,Uncategorized
MedTech Europe joins health stakeholders to express concerns about the draft text of the European Health Data Space,https://www.medtecheurope.org/digital-health/,Posted on 07.03.2024,N/A,Uncategorized
Launch of the OECD Zero Corruption Campaign website,https://www.medtecheurope.org/news-and-events/news/launch-of-the-oecd-zero-corruption-campaign-website/,Posted on 07.03.2024,N/A,Uncategorized
World Trade Organization’s Moratorium on Customs Duties on Electronic Transmissions renewed,https://www.medtecheurope.org/international/,Posted on 07.03.2024,N/A,Uncategorized
First deadline approaching: Innovative Health Initiative Calls for Proposals #6 and #7,https://www.medtecheurope.org/innovative-health-initiative-ihi-the-flagship-partnership-for-healthcare-research-innovation-in-europe/,Posted on 07.03.2024,N/A,Uncategorized
The Corporate Sustainability Due Diligence Directive vote failed in Council,https://www.medtecheurope.org/news-and-events/news/csddd-vote-failed-in-council/,Posted on 07.03.2024,N/A,Uncategorized
The MedTech Forum 2024 early bird registration closing soon,https://www.medtecheurope.org/news-and-events/news/the-medtech-forum-2024-early-bird-registration-closing-soon/,Posted on 07.03.2024,N/A,Uncategorized
“The Application of AI in the Healthcare and Life Sciences Industry” – watch now MedTech Europe’s contribution to the webinar organised by Simmons & Simmons,https://www.medtecheurope.org/digital-health/,Posted on 01.02.2024,N/A,Uncategorized
MedTech Europe calls for improved transition time measures for Class D IVDs,https://www.medtecheurope.org/news-and-events/news/medtech-europe-calls-for-improved-transition-time-measures-for-class-d-ivds/,Posted on 01.02.2024,N/A,Uncategorized
Thank you for the fantastic participation to the survey on the CVS platform!,https://www.medtecheurope.org/news-and-events/news/thank-you-for-the-fantastic-participation-to-the-survey-on-the-cvs-platform/,Posted on 01.02.2024,N/A,Uncategorized
Another successful edition of the European Value-Based Procurement Conference,https://www.medtecheurope.org/access-to-medical-technology/,Posted on 01.02.2024,N/A,Uncategorized
Joint open letter: In anticipation of EUDAMED availability for mandatory use,https://www.medtecheurope.org/news-and-events/news/joint-open-letter-in-anticipation-of-eudamed-availability-for-mandatory-use/,Posted on 01.02.2024,N/A,Uncategorized
“AI Act – Building Trust in EU Innovation” – Event Report published,https://www.medtecheurope.org/digital-health/,Posted on 01.02.2024,N/A,Uncategorized
STAT Plus: Startup Alumis raises $259 million as it prepares for psoriasis trial,https://www.statnews.com/category/biotech/,N/A,Allison DeAngelis,Uncategorized
"STAT Plus: ‘It’s a nightmare’: One of the most common children’s asthma meds is no longer available, leaving families scrambling",https://www.statnews.com/category/biotech/,N/A,N/A,Uncategorized
STAT Plus: Massachusetts lawmakers consider $1 billion proposal to bolster region’s life science leadership,https://www.statnews.com/category/biotech/,N/A,N/A,Uncategorized
STAT Plus: Serum Institute of India wants government HPV contract,https://www.statnews.com/category/readout-newsletter/,N/A,Meghana Keshavan,Uncategorized
"STAT Plus: Longer treatment gave better liver outcomes for MASH patients, Akero drug study shows",https://www.statnews.com/category/biotech/,N/A,Adam Feuerstein,Uncategorized
"STAT Plus: Despite good data, Ironwood’s shares plummet",https://www.statnews.com/category/readout-newsletter/,N/A,Meghana Keshavan,Uncategorized
STAT Plus: Here are the cancer drugs Pfizer thinks could reignite investors’ interest,https://www.statnews.com/category/biotech/,N/A,Matthew Herper,Uncategorized
STAT Plus: The next act for a biotech rainmaker,https://www.statnews.com/category/readout-newsletter/,N/A,Damian Garde,Uncategorized
STAT Plus: This chemist’s last startup sold for $4 billion. Now investors have poured $173 million into her next act,https://www.statnews.com/category/biotech/,N/A,Matthew Herper,Uncategorized
STAT Plus: Q&A: A biotech VC leader shares her next big bets,https://www.statnews.com/category/biotech/,N/A,Allison DeAngelis,Uncategorized
STAT Plus: Pfizer is about to make a big push in cancer. Will investors listen?,https://www.statnews.com/category/pharma/,N/A,Matthew Herper,Uncategorized
"STAT Plus: An inside look at PIPEs, the financing trend that has biotech abuzz",https://www.statnews.com/category/adams-take/,N/A,Adam Feuerstein,Uncategorized
STAT Plus: Beam is trading like it’s 2021,https://www.statnews.com/category/readout-newsletter/,N/A,Damian Garde,Uncategorized
STAT Plus: A ‘renaissance in neuroscience’ could deliver a fresh crop of psychiatric medicines,https://www.statnews.com/category/biotech/,N/A,Damian Garde,Uncategorized
STAT Plus: GSK pill works in uncomplicated gonorrhea,https://www.statnews.com/category/readout-newsletter/,N/A,Meghana Keshavan,Uncategorized
"STAT Plus: Viking Therapeutics obesity drug hits target in key study, raising hopes for a competitor to existing medicines",https://www.statnews.com/category/biotech/,N/A,Andrew Joseph,Uncategorized
STAT Plus: The FDA isn’t afraid to yank a disappointing drug,https://www.statnews.com/category/readout-newsletter/,N/A,Damian Garde,Uncategorized
STAT Plus: Liver disease MASH is next target for obesity drugs in development,https://www.statnews.com/category/pharma/,N/A,Elaine Chen,Uncategorized
"STAT Plus: Ocular Therapeutix moves in the right direction, and Alnylam tries to calm some nerves",https://www.statnews.com/category/adams-take/,N/A,Adam Feuerstein,Uncategorized
STAT Plus: What do CEOs owe the world?,https://www.statnews.com/category/readout-newsletter/,N/A,Meghana Keshavan,Uncategorized
"STAT Plus: Annovis Bio delivers candor on its Parkinson’s study, even if it doesn’t inspire much confidence",https://www.statnews.com/category/adams-take/,N/A,Adam Feuerstein,Uncategorized
